transcription,path_to_audio,speaker_id,native_language,gender,sewd_tiny_transcriptions
on the far corner of the compound fence a hawk brooded,data/l2arctic/SKA/wav/arctic_b0172.wav,SKA,Arabic,F,on the fatcone of the combounded finse a hope brut it
hatred and murder and lust for revenge they possessed to overflowing,data/l2arctic/SKA/wav/arctic_b0174.wav,SKA,Arabic,F,hitered and mederate and loster for frenge is a busdo to over flowing
sheldon glanced at the thermometer,data/l2arctic/SKA/wav/arctic_b0175.wav,SKA,Arabic,F,chall dengans adetimonituh
ill see to poor hughie,data/l2arctic/SKA/wav/arctic_b0176.wav,SKA,Arabic,F,i will see to pohugy
her gray eyes were flashing and her lips were quivering,data/l2arctic/SKA/wav/arctic_b0177.wav,SKA,Arabic,F,a haird gy eyes wayad fleshing and her lips wered gulink
also i want information,data/l2arctic/SKA/wav/arctic_b0178.wav,SKA,Arabic,F,also i want information
let them go out and eat with my boys,data/l2arctic/SKA/wav/arctic_b0179.wav,SKA,Arabic,F,led dem gole out and it was my boys
i i beg pardon he drawled,data/l2arctic/SKA/wav/arctic_b0180.wav,SKA,Arabic,F,i i beglbardon he drawed
and you preferred a cannibal isle and a cartridge belt,data/l2arctic/SKA/wav/arctic_b0181.wav,SKA,Arabic,F,and do you preferred a cabal ild and kalgigibelt
i was in new york when the crash came,data/l2arctic/SKA/wav/arctic_b0182.wav,SKA,Arabic,F,i was in you o kendhe kash kin
no i did not fall among thieves,data/l2arctic/SKA/wav/arctic_b0183.wav,SKA,Arabic,F,kno i did not fall amon guzise
such things in her brain were like so many oaths on her lips,data/l2arctic/SKA/wav/arctic_b0184.wav,SKA,Arabic,F,such thing in her brain wert like so many os is on her leks
your being wrecked here has been a godsend to me,data/l2arctic/SKA/wav/arctic_b0185.wav,SKA,Arabic,F,youl bein te aregt here has been a godsen to me
i cant go elsewhere by your own account,data/l2arctic/SKA/wav/arctic_b0186.wav,SKA,Arabic,F,i cantagol aswed by your own account
her achievements with cocoanuts were a revelation,data/l2arctic/SKA/wav/arctic_b0187.wav,SKA,Arabic,F,head achievements  was cokenatwal a relation
he glanced down at her helplessly and moistened his lips,data/l2arctic/SKA/wav/arctic_b0188.wav,SKA,Arabic,F,he glanced down at haird head vislescy and the moints of the hairslips
that is what distinguishes all of us from the lower animals,data/l2arctic/SKA/wav/arctic_b0189.wav,SKA,Arabic,F,that is what distinguishes all of us froms and lowered animens
he also contended that better confidence was established by carrying no weapons,data/l2arctic/SKA/wav/arctic_b0191.wav,SKA,Arabic,F,he also contended that bitter confidence was established by cetting the kno evente
outsiders are allowed five minute speeches the sick man urged,data/l2arctic/SKA/wav/arctic_b0192.wav,SKA,Arabic,F,outside thers are allout five minutes speeches the sake man arge it
so was packards finish suicide,data/l2arctic/SKA/wav/arctic_b0193.wav,SKA,Arabic,F,so was beccas finish socide
joan cried with shining eyes,data/l2arctic/SKA/wav/arctic_b0194.wav,SKA,Arabic,F,joncride with shining eyes
nobody knows how the natives got them,data/l2arctic/SKA/wav/arctic_b0195.wav,SKA,Arabic,F,nobodinos howsan itovs gubshim
how can you manage all alone mister young,data/l2arctic/SKA/wav/arctic_b0196.wav,SKA,Arabic,F,how can you manage ol alone you misterriang
the planters are already considering the matter,data/l2arctic/SKA/wav/arctic_b0197.wav,SKA,Arabic,F,ze blanters or oezi considering the mative
i use great trouble advisedly,data/l2arctic/SKA/wav/arctic_b0198.wav,SKA,Arabic,F,i use gate trouble advicely
dear sir your second victim has fallen on schedule time,data/l2arctic/SKA/wav/arctic_b0199.wav,SKA,Arabic,F,jistel you second victim has fallen on a s cadual time
we leave the eventuality to time and law,data/l2arctic/SKA/wav/arctic_b0200.wav,SKA,Arabic,F,weleave evinetroticit wth imes ar andlaw
i also understand that similar branch organizations have made their appearance in europe,data/l2arctic/SKA/wav/arctic_b0201.wav,SKA,Arabic,F,i olse understand tha simina branch orgization had mad zil apperance in erop
society is shaken to its foundations,data/l2arctic/SKA/wav/arctic_b0202.wav,SKA,Arabic,F,society is shaking to its foundations
a month in australia would finish me,data/l2arctic/SKA/wav/arctic_b0203.wav,SKA,Arabic,F,amans innistoa would finish me
down through the perfume weighted air fluttered the snowy fluffs of the cottonwoods,data/l2arctic/SKA/wav/arctic_b0204.wav,SKA,Arabic,F,dalance roves abiphium waited air floated the snowy fluffeds of their cotenwoods
you were destroying my life,data/l2arctic/SKA/wav/arctic_b0205.wav,SKA,Arabic,F,you oerdestraing my life
horses and rifles had been her toys camp and trail her nursery,data/l2arctic/SKA/wav/arctic_b0206.wav,SKA,Arabic,F,horses and rafels had been hair toys camp and thrail her nersy
you read the quotations in todays paper,data/l2arctic/SKA/wav/arctic_b0208.wav,SKA,Arabic,F,your execuatations into deyspeople
hes terribly touchy about his black wards as he calls them,data/l2arctic/SKA/wav/arctic_b0209.wav,SKA,Arabic,F,he stillebly touched about his blackwerds as he cose im
whatever he guessed he locked away in the taboo room of naomi,data/l2arctic/SKA/wav/arctic_b0210.wav,SKA,Arabic,F,dever he gized he loged away in the debblroom of namoy
this is eighteen eighty,data/l2arctic/SKA/wav/arctic_b0211.wav,SKA,Arabic,F,disis eighteen n eightee
death is and has been ever since old maui died,data/l2arctic/SKA/wav/arctic_b0212.wav,SKA,Arabic,F,this as and it has been ever since al demanou died
some boy she laughed acquiescence,data/l2arctic/SKA/wav/arctic_b0213.wav,SKA,Arabic,F,some boy she loved acquissins
let us talk it over and find a way out,data/l2arctic/SKA/wav/arctic_b0214.wav,SKA,Arabic,F,let us took it over and find away out
its a good property and worth more than that,data/l2arctic/SKA/wav/arctic_b0215.wav,SKA,Arabic,F,did a good proberty and worse more than thit
i wish you were more adaptable joan retorted,data/l2arctic/SKA/wav/arctic_b0216.wav,SKA,Arabic,F,i wish you weare more aduptal jon retarded
such is my passage engaged on the steamer,data/l2arctic/SKA/wav/arctic_b0217.wav,SKA,Arabic,F,such as my bassage engaged it on destima
the issue was not in doubt,data/l2arctic/SKA/wav/arctic_b0218.wav,SKA,Arabic,F,the acie was not endoubt
well there are better men in hawaii thats all,data/l2arctic/SKA/wav/arctic_b0219.wav,SKA,Arabic,F,wils are or biten men an how i that's hold
harry bancroft dave lied,data/l2arctic/SKA/wav/arctic_b0220.wav,SKA,Arabic,F,hedry bankof dave light
its a yankee joan cried,data/l2arctic/SKA/wav/arctic_b0221.wav,SKA,Arabic,F,it's iancijonkid
he was the leader and tudor was his lieutenant,data/l2arctic/SKA/wav/arctic_b0222.wav,SKA,Arabic,F,he was ledyde and to that was his leyaunt
they likewise are disinclined to being eaten,data/l2arctic/SKA/wav/arctic_b0223.wav,SKA,Arabic,F,they likewise are disinclined to being ceaten
the president of the united states was his friend,data/l2arctic/SKA/wav/arctic_b0225.wav,SKA,Arabic,F,the president of eate states was his friend
your face was the personification of duplicity,data/l2arctic/SKA/wav/arctic_b0226.wav,SKA,Arabic,F,your face was tha persification of theblicity
shorty turned to their employers,data/l2arctic/SKA/wav/arctic_b0227.wav,SKA,Arabic,F,chorci turn atos their ambloyes
you were engaged,data/l2arctic/SKA/wav/arctic_b0228.wav,SKA,Arabic,F,your engized
i saw it all myself and it was splendid,data/l2arctic/SKA/wav/arctic_b0229.wav,SKA,Arabic,F,i saw it all myself and it was splendid
now run along and tell them to hurry,data/l2arctic/SKA/wav/arctic_b0230.wav,SKA,Arabic,F,now don a long and fells emto harry
whats that grub thief got to do with it,data/l2arctic/SKA/wav/arctic_b0231.wav,SKA,Arabic,F,what's is that grabshief go to a do was it
it was a superb picture,data/l2arctic/SKA/wav/arctic_b0232.wav,SKA,Arabic,F,it was a suberd victure
so she said the irate skipper dashed on,data/l2arctic/SKA/wav/arctic_b0233.wav,SKA,Arabic,F,so she'zan sarite keepet deshermen
and watch out for wet feet was his parting advice,data/l2arctic/SKA/wav/arctic_b0234.wav,SKA,Arabic,F,and which out for wiceat was his barting advice
raoul yelled in order to make himself heard,data/l2arctic/SKA/wav/arctic_b0235.wav,SKA,Arabic,F,roll yard and norder to make himself haired
oolong was two hundred and fifty miles from the nearest land,data/l2arctic/SKA/wav/arctic_b0236.wav,SKA,Arabic,F,olon gos too handred and fifteen miles fram zaneris t islan land
they just lay off in the bush and plugged away,data/l2arctic/SKA/wav/arctic_b0237.wav,SKA,Arabic,F,the just lay off in the bush and blug tevay
the very thought of the effort to swim over was nauseating,data/l2arctic/SKA/wav/arctic_b0238.wav,SKA,Arabic,F,that very sort of the effort to swim overs heoseness ietink
and there was a dog that barked,data/l2arctic/SKA/wav/arctic_b0239.wav,SKA,Arabic,F,and thit was a dozat barket
there are four all low mcoy answered,data/l2arctic/SKA/wav/arctic_b0240.wav,SKA,Arabic,F,there are full all lo maquet answered
bill lingered contemplating his work with artistic appreciation,data/l2arctic/SKA/wav/arctic_a0561.wav,SKA,Arabic,F,belangrat contiblentoing his work was atisd abersation
but well just postpone this,data/l2arctic/SKA/wav/arctic_a0578.wav,SKA,Arabic,F,but weill just posponses
you got out by fighting and i through a pretty girl,data/l2arctic/SKA/wav/arctic_b0002.wav,SKA,Arabic,F,you got out by fighting and i show a bitty gar
he made no reply as he waited for whittemore to continue,data/l2arctic/SKA/wav/arctic_b0020.wav,SKA,Arabic,F,he made notivelie as he would for wit more to continue
philip knew that he was not an indian,data/l2arctic/SKA/wav/arctic_b0037.wav,SKA,Arabic,F,caleve know that he was not an engine
he understood the meaning of the look,data/l2arctic/SKA/wav/arctic_b0054.wav,SKA,Arabic,F,he understood the meaning of the look
there was no answer from the other side,data/l2arctic/SKA/wav/arctic_b0071.wav,SKA,Arabic,F,thit was no answer from thas a sint
until i die he exclaimed,data/l2arctic/SKA/wav/arctic_b0088.wav,SKA,Arabic,F,until i di exclemed
i know that you are in charge there and jeanne knows,data/l2arctic/SKA/wav/arctic_b0105.wav,SKA,Arabic,F,i know that you are in chargs there and ginie knows
philip saw macdougall soon after his short talk with thorpe,data/l2arctic/SKA/wav/arctic_b0122.wav,SKA,Arabic,F,pilipso madone so after his short dok was throw
together they ate the rabbit,data/l2arctic/SKA/wav/arctic_b0139.wav,SKA,Arabic,F,to gezer the ait therept
for that reason le beau had chosen him to fight the big fight,data/l2arctic/SKA/wav/arctic_b0156.wav,SKA,Arabic,F,for zhet reson lebo had chosen him to find ha bic fit
to these he gave castor oil,data/l2arctic/SKA/wav/arctic_b0173.wav,SKA,Arabic,F,to zease he gaves cestalike
idealism led him to philosophic anarchy and his family threw him off,data/l2arctic/SKA/wav/arctic_b0190.wav,SKA,Arabic,F,idilizm led him to philoshophic anorici and then his family throw him off
im as good as a man she urged,data/l2arctic/SKA/wav/arctic_b0207.wav,SKA,Arabic,F,am as a good as a man she urset
but to culture the revolution thus far had exhausted the junta,data/l2arctic/SKA/wav/arctic_b0224.wav,SKA,Arabic,F,ut to cetitur the vilusions as far had exusted to janta
the women they carried away with them to the big valley,data/l2arctic/SKA/wav/arctic_b0241.wav,SKA,Arabic,F,the woman za carri awave with them to the begval
you fired me out of your house in short,data/l2arctic/SKA/wav/arctic_b0258.wav,SKA,Arabic,F,wefiredme out of your house in short
but i did not enjoy it long,data/l2arctic/SKA/wav/arctic_b0275.wav,SKA,Arabic,F,but i did not enjate long
the fire men wore animal skins around their waists and across their shoulders,data/l2arctic/SKA/wav/arctic_b0292.wav,SKA,Arabic,F,the fire men where anemelos kings around they wasted and acrosse their shoulders
nor was elam harnish an exception,data/l2arctic/SKA/wav/arctic_b0309.wav,SKA,Arabic,F,nor was an emparonish an exxheption
our mister howison will call upon you at your hotel,data/l2arctic/SKA/wav/arctic_b0326.wav,SKA,Arabic,F,our mister houson would coll aveyeu at your hotel
but how are you going to do it,data/l2arctic/SKA/wav/arctic_b0343.wav,SKA,Arabic,F,but how de wink to it
he may desire to escape pain or to enjoy pleasure,data/l2arctic/SKA/wav/arctic_b0413.wav,SKA,Arabic,F,he made decide to skip in o to enjoy vvisal
the japanese understood as we could never school ourselves or hope to understand,data/l2arctic/SKA/wav/arctic_b0242.wav,SKA,Arabic,F,the zreneys understood as we could niver scold our selvice or hope to understand
they had been on the same lay as ourselves,data/l2arctic/SKA/wav/arctic_b0243.wav,SKA,Arabic,F,they had been on the same lay as ourselves
you are positively soulless he said savagely,data/l2arctic/SKA/wav/arctic_b0244.wav,SKA,Arabic,F,you are busitively saice he said zavishly
harrison is still my chauffeur,data/l2arctic/SKA/wav/arctic_b0245.wav,SKA,Arabic,F,herison's isiston my sheferrd
the boy grew and prospered,data/l2arctic/SKA/wav/arctic_b0246.wav,SKA,Arabic,F,the boigo and brozbet
he wanted to give the finish to this foe already so far gone,data/l2arctic/SKA/wav/arctic_b0247.wav,SKA,Arabic,F,i wanted to give the finish thosist full arege of so far gone
exciting times are the lot of the fish patrol,data/l2arctic/SKA/wav/arctic_b0248.wav,SKA,Arabic,F,exiting tandaro the lot of the fish paterol
i know they are my oysters,data/l2arctic/SKA/wav/arctic_b0249.wav,SKA,Arabic,F,i know the are my oysters
by this time charley was as enraged as the greek,data/l2arctic/SKA/wav/arctic_b0250.wav,SKA,Arabic,F,by this time charley was as enraise do aszegric
they must have been swept away by the chaotic currents,data/l2arctic/SKA/wav/arctic_b0251.wav,SKA,Arabic,F,they must have been swipt away by thei ecuvic gurnts
it resembled tea less than lager beer resembles champagne,data/l2arctic/SKA/wav/arctic_b0252.wav,SKA,Arabic,F,it resemble tho he thay then tlagar bird shu resembeze chambin
the very opposite is true they are discouraged vagabonds,data/l2arctic/SKA/wav/arctic_b0253.wav,SKA,Arabic,F,the verly opposift is threuh the ardis carriage of vagulones
at the same time spears and arrows began to fall among the invaders,data/l2arctic/SKA/wav/arctic_b0254.wav,SKA,Arabic,F,at the same time spears andrs began to fall amongzzan vitors
then again tudor had such an irritating way about him,data/l2arctic/SKA/wav/arctic_b0255.wav,SKA,Arabic,F,then again to di had such an urrakenin gway about tam
outwardly he maintained a calm and smiling aspect,data/l2arctic/SKA/wav/arctic_b0256.wav,SKA,Arabic,F,i would adly hamentaine a celmus met an get especet
tudor surveyed him with withering disgust,data/l2arctic/SKA/wav/arctic_b0257.wav,SKA,Arabic,F,to the servey ham was withing disgust
her mouth opened but instead of speaking she drew a long sigh,data/l2arctic/SKA/wav/arctic_b0259.wav,SKA,Arabic,F,hand moused opened by in stead of speaking he threw along sighe
its worth eight dollars,data/l2arctic/SKA/wav/arctic_b0260.wav,SKA,Arabic,F,to usad deleys
and he did hurt my arm,data/l2arctic/SKA/wav/arctic_b0261.wav,SKA,Arabic,F,and it he did hart my arm
