transcription,path_to_audio,speaker_id,native_language,gender,whisper_small_transcriptions
in spite of their absurdity the words affected philip curiously,data/l2arctic/YBAA/wav/arctic_a0050.wav,YBAA,Arabic,M,"in spite of their absurdity, the words affected philip curiously.!!!"
it was a curious coincidence,data/l2arctic/YBAA/wav/arctic_a0052.wav,YBAA,Arabic,M,it was a curious coincidence.!!!
suddenly his fingers closed tightly over the handkerchief,data/l2arctic/YBAA/wav/arctic_a0053.wav,YBAA,Arabic,M,"suddenly, his fingers closed tightly over the hand kirshif.!!!"
there was nothing on the rock,data/l2arctic/YBAA/wav/arctic_a0054.wav,YBAA,Arabic,M,there was nothing on the rock!!!
philip stood undecided his ears strained to catch the slightest sound,data/l2arctic/YBAA/wav/arctic_a0055.wav,YBAA,Arabic,M,philip stood and decided his ears are strained to catch this lightest sound.!!!
pearces little eyes were fixed on him shrewdly,data/l2arctic/YBAA/wav/arctic_a0056.wav,YBAA,Arabic,M,pierce's little eyes were fixed on him shrewdly.!!!
i have no idea replied philip,data/l2arctic/YBAA/wav/arctic_a0057.wav,YBAA,Arabic,M,"i have no idea,"" replied phillip.!!!"
i came for information more out of curiosity than anything else,data/l2arctic/YBAA/wav/arctic_a0058.wav,YBAA,Arabic,M,i came for information more out of curiosity than anything else.!!!
his immaculate appearance was gone,data/l2arctic/YBAA/wav/arctic_a0059.wav,YBAA,Arabic,M,his amiculite appearance was gone.!!!
anyway no one saw her like that,data/l2arctic/YBAA/wav/arctic_a0060.wav,YBAA,Arabic,M,"anyway, no one saw her like that.!!!"
philip snatched at the letter which gregson held out to him,data/l2arctic/YBAA/wav/arctic_a0061.wav,YBAA,Arabic,M,phillips snatched at the letter which gregson held out to him.!!!
the men stared into each others face,data/l2arctic/YBAA/wav/arctic_a0062.wav,YBAA,Arabic,M,the men stirred into each other's faces.!!!
yes it was a man who asked a stranger,data/l2arctic/YBAA/wav/arctic_a0063.wav,YBAA,Arabic,M,"yes, it was a man who asked a stranger.!!!"
the fourth and fifth days passed without any developments,data/l2arctic/YBAA/wav/arctic_a0064.wav,YBAA,Arabic,M,the fourth and fifth days passed without any developments.!!!
they closed now until his fingers were like cords of steel,data/l2arctic/YBAA/wav/arctic_a0065.wav,YBAA,Arabic,M,they closed now until his fingers were like cords of steel.!!!
he saw jeanne falter for a moment,data/l2arctic/YBAA/wav/arctic_a0066.wav,YBAA,Arabic,M,he saw jaina filter for a moment.!!!
surely i will excuse you she cried,data/l2arctic/YBAA/wav/arctic_a0067.wav,YBAA,Arabic,M,"surely i will execute you, she cried.!!!"
from that moment his friendship for belize turns to hatred and jealousy,data/l2arctic/YBAA/wav/arctic_a0017.wav,YBAA,Arabic,M,from that moment his friendship for pillars turned to hatred and jealousy.!!!
men of seldens stamp dont stop at women and children,data/l2arctic/YBAA/wav/arctic_a0034.wav,YBAA,Arabic,M,"men of sildens, stamp don't stop at women and children.!!!"
the lace was of a delicate ivory color faintly tinted with yellow,data/l2arctic/YBAA/wav/arctic_a0051.wav,YBAA,Arabic,M,"the lace was of a delicate ivory color, thinly tinted with yellow.!!!"
in a flash philip followed its direction,data/l2arctic/YBAA/wav/arctic_a0068.wav,YBAA,Arabic,M,"in a flash, fill up full its direction.!!!"
a trickle of fresh blood ran over his face,data/l2arctic/YBAA/wav/arctic_a0085.wav,YBAA,Arabic,M,a trickle of fresh blood ran over his face.!!!
but there came no promise from the bow of the canoe,data/l2arctic/YBAA/wav/arctic_a0103.wav,YBAA,Arabic,M,but there came no promise from the pope of the canoes.!!!
my right foot feels like of a chinese debutante,data/l2arctic/YBAA/wav/arctic_a0120.wav,YBAA,Arabic,M,my right foot feels like of a chinese debutante.!!!
then he stepped back with a low cry of pleasure,data/l2arctic/YBAA/wav/arctic_a0137.wav,YBAA,Arabic,M,then he stepped back with a low cry of pleasure.!!!
he was smooth shaven and his hair and eyes were black,data/l2arctic/YBAA/wav/arctic_a0154.wav,YBAA,Arabic,M,"he was smooth shaven, and his hair and eyes were black.!!!"
and when you come back in a few days bring eileen,data/l2arctic/YBAA/wav/arctic_a0171.wav,YBAA,Arabic,M,"and when you come back in a few days, bring a lean."
two gigantic owls were tearing at the carcass,data/l2arctic/YBAA/wav/arctic_a0188.wav,YBAA,Arabic,M,two gigantic holes were tearing at the carcass.
from now on were pals,data/l2arctic/YBAA/wav/arctic_a0205.wav,YBAA,Arabic,M,"from now on, we are poles."
what part of the united states is your home,data/l2arctic/YBAA/wav/arctic_a0222.wav,YBAA,Arabic,M,what about the united states is your home?
he cried in such genuine dismay that she broke into hearty laughter,data/l2arctic/YBAA/wav/arctic_a0239.wav,YBAA,Arabic,M,he cried in such genuine dismay that she broke into herty lover.
see the length of the body and that elongated neck,data/l2arctic/YBAA/wav/arctic_a0256.wav,YBAA,Arabic,M,see the length of the body and that elongated neck.
it was his intention to return to eileen and her father,data/l2arctic/YBAA/wav/arctic_a0069.wav,YBAA,Arabic,M,it was his intention to return to ilean and her father.
he would first hunt up gregson and begin his work there,data/l2arctic/YBAA/wav/arctic_a0070.wav,YBAA,Arabic,M,he would first hunt up grigson and begin his work there.
what was the object of your little sensation,data/l2arctic/YBAA/wav/arctic_a0071.wav,YBAA,Arabic,M,what was the object of your little sensation?
but who was eileens double,data/l2arctic/YBAA/wav/arctic_a0072.wav,YBAA,Arabic,M,but who was eileen's double?
the promoters eyes were heavy with little puffy bags under them,data/l2arctic/YBAA/wav/arctic_a0073.wav,YBAA,Arabic,M,the promoter's eyes were heavy with little puffy bags under them.
and now down there eileen was waiting for him,data/l2arctic/YBAA/wav/arctic_a0074.wav,YBAA,Arabic,M,"and now down there, elaine was waiting for him."
there has been a change she interrupted him,data/l2arctic/YBAA/wav/arctic_a0075.wav,YBAA,Arabic,M,"there has been a change, she interrupted them."
the gray eyes faltered the flush deepened,data/l2arctic/YBAA/wav/arctic_a0076.wav,YBAA,Arabic,M,"the grey eyes filtered, the flush deepened."
it is the fire partly she said,data/l2arctic/YBAA/wav/arctic_a0077.wav,YBAA,Arabic,M,"it is the fire, partly she said."
then and at supper he tried to fathom her,data/l2arctic/YBAA/wav/arctic_a0078.wav,YBAA,Arabic,M,then and at supper he tried to fathom hair.
it was a large canoe,data/l2arctic/YBAA/wav/arctic_a0079.wav,YBAA,Arabic,M,it was a large canal.
what if jeanne failed him,data/l2arctic/YBAA/wav/arctic_a0080.wav,YBAA,Arabic,M,what if gina failed him?
what if she did not come to the rock,data/l2arctic/YBAA/wav/arctic_a0081.wav,YBAA,Arabic,M,what if she did not come to the rock?
his face was streaming with blood,data/l2arctic/YBAA/wav/arctic_a0082.wav,YBAA,Arabic,M,his face was dreaming with blood.
a shadow was creeping over pierres eyes,data/l2arctic/YBAA/wav/arctic_a0083.wav,YBAA,Arabic,M,a shadow was creeping over perry's eyes.
scarcely had he uttered the name when pierres closing eyes shot open,data/l2arctic/YBAA/wav/arctic_a0084.wav,YBAA,Arabic,M,scarcely had he uttered the name when percy's closing eyes shot open.
death had come with terrible suddenness,data/l2arctic/YBAA/wav/arctic_a0086.wav,YBAA,Arabic,M,death had come with terrible sadness.
philip bent lower and stared into the face of the dead man,data/l2arctic/YBAA/wav/arctic_a0087.wav,YBAA,Arabic,M,philip bent lower and stirred into the face of the dead man.
he made sure that the magazine was loaded and resumed his paddling,data/l2arctic/YBAA/wav/arctic_a0088.wav,YBAA,Arabic,M,he made sure that the magazine was loaded and resumed his battling.
the night glow was treacherous to shoot by,data/l2arctic/YBAA/wav/arctic_a0089.wav,YBAA,Arabic,M,the night glow was treacherous to shoot by.
the singing voice approached rapidly,data/l2arctic/YBAA/wav/arctic_a0090.wav,YBAA,Arabic,M,the singing voice approached rapidly.
his blood grew hot with rage at the thought,data/l2arctic/YBAA/wav/arctic_a0091.wav,YBAA,Arabic,M,his blood grew hot with rage at the throat.
he went down in midstream searching the shadows of both shores,data/l2arctic/YBAA/wav/arctic_a0092.wav,YBAA,Arabic,M,he went down in midstream searching the shadows of both shores.
for a full minute he crouched and listened,data/l2arctic/YBAA/wav/arctic_a0093.wav,YBAA,Arabic,M,"for a full minute, he crouched and listened."
a big canvas tent was the first thing to come within his vision,data/l2arctic/YBAA/wav/arctic_a0095.wav,YBAA,Arabic,M,a big canvas tent was the first thing to come within his vision.
perhaps she had already met her fate a little deeper in the forest,data/l2arctic/YBAA/wav/arctic_a0096.wav,YBAA,Arabic,M,perhaps she had already met her fate a little deeper in the forest.
then you can arrange yourself comfortably among these robes in the bow,data/l2arctic/YBAA/wav/arctic_a0097.wav,YBAA,Arabic,M,then you can arrange yourself comfortably among these ropes and depots.
shall i carry you,data/l2arctic/YBAA/wav/arctic_a0098.wav,YBAA,Arabic,M,shall i carry you?
a maddening joy pounded in his brain,data/l2arctic/YBAA/wav/arctic_a0099.wav,YBAA,Arabic,M,a maddening joy bounded in his brain.
you must sleep he urged,data/l2arctic/YBAA/wav/arctic_a0100.wav,YBAA,Arabic,M,you must asleep. he irked.
you you would not keep the truth from me,data/l2arctic/YBAA/wav/arctic_a0101.wav,YBAA,Arabic,M,"you, you would not keep the truth from me."
he will follow us soon,data/l2arctic/YBAA/wav/arctic_a0102.wav,YBAA,Arabic,M,he will follow us soon.
she was sleeping under his protection as sweetly as a child,data/l2arctic/YBAA/wav/arctic_a0104.wav,YBAA,Arabic,M,she was sleeping under his protection as sweetly as a child.
only it is so wonderful so almost impossible to believe,data/l2arctic/YBAA/wav/arctic_a0105.wav,YBAA,Arabic,M,"only it's so wonderful, so almost impossible to believe."
the emotion which she had suppressed burst forth now in a choking sob,data/l2arctic/YBAA/wav/arctic_a0106.wav,YBAA,Arabic,M,the emotion which she had suppressed burst forth now in a choking soap.
if you only could know how i thank you,data/l2arctic/YBAA/wav/arctic_a0107.wav,YBAA,Arabic,M,if you only could know how i thank you.
he waded into the edge of the water and began scrubbing himself,data/l2arctic/YBAA/wav/arctic_a0108.wav,YBAA,Arabic,M,he waded into the edge of the water and began scrubbing himself.
do you know that you are shaking my confidence in you,data/l2arctic/YBAA/wav/arctic_a0109.wav,YBAA,Arabic,M,do you know that you are shaking my confidence in you?
much replied jeanne as tersely,data/l2arctic/YBAA/wav/arctic_a0110.wav,YBAA,Arabic,M,much replied jane as dursley.
instead he joined her and they ate like two hungry children,data/l2arctic/YBAA/wav/arctic_a0111.wav,YBAA,Arabic,M,instead he joined here and they ate like two hungry children.
he was wounded in the arm,data/l2arctic/YBAA/wav/arctic_a0112.wav,YBAA,Arabic,M,he was wounded in the arm.
i suppose you picked that lingo up among the indians,data/l2arctic/YBAA/wav/arctic_a0113.wav,YBAA,Arabic,M,i suppose you picked that lingo up among the indians.
her words sent a strange chill through philip,data/l2arctic/YBAA/wav/arctic_a0114.wav,YBAA,Arabic,M,her words sent a strange chill through philip.
he had no excuse for the feelings which were aroused in him,data/l2arctic/YBAA/wav/arctic_a0115.wav,YBAA,Arabic,M,he had no excuse for the feelings which were aroused in him.
was it the rendezvous of those who were striving to work his ruin,data/l2arctic/YBAA/wav/arctic_a0116.wav,YBAA,Arabic,M,was it the rendezvous of those who were striving to work in his room?
she added with genuine sympathy in her face and voice,data/l2arctic/YBAA/wav/arctic_a0117.wav,YBAA,Arabic,M,she added with genuine sympathy in her face and voice.
pierre obeys me when we are together,data/l2arctic/YBAA/wav/arctic_a0118.wav,YBAA,Arabic,M,perry obeys me when we are together.
jeanne was turning the bow shoreward,data/l2arctic/YBAA/wav/arctic_a0119.wav,YBAA,Arabic,M,the chain was turning the poe showward.
they ate dinner at the fifth and rested for two hours,data/l2arctic/YBAA/wav/arctic_a0121.wav,YBAA,Arabic,M,they ate dinner at the 5th and rested for 2 hours.
two years ago i gave up civilization for this,data/l2arctic/YBAA/wav/arctic_a0122.wav,YBAA,Arabic,M,two years ago i gave up civilization for this.
she had died from cold and starvation,data/l2arctic/YBAA/wav/arctic_a0123.wav,YBAA,Arabic,M,she had died from cold and starvation.
it was jeanne singing softly over beyond the rocks,data/l2arctic/YBAA/wav/arctic_a0124.wav,YBAA,Arabic,M,it was jane singing softly over beyond the rocks.
he was determined now to maintain a more certain hold upon himself,data/l2arctic/YBAA/wav/arctic_a0125.wav,YBAA,Arabic,M,he was determined now to maintain a more certain hold upon himself.
each day she became a more vital part of him,data/l2arctic/YBAA/wav/arctic_a0126.wav,YBAA,Arabic,M,each day she became a more vital part of him.
it was a temptation but he resisted it,data/l2arctic/YBAA/wav/arctic_a0127.wav,YBAA,Arabic,M,"it was a temptation, but he resisted it."
this one hope was destroyed as quickly as it was born,data/l2arctic/YBAA/wav/arctic_a0128.wav,YBAA,Arabic,M,this one hope was destroyed as quickly as it was born.
her face was against his breast,data/l2arctic/YBAA/wav/arctic_a0129.wav,YBAA,Arabic,M,her face was against his breast.
she was his now forever,data/l2arctic/YBAA/wav/arctic_a0130.wav,YBAA,Arabic,M,she was his now forever.
providence had delivered him through the maelstrom,data/l2arctic/YBAA/wav/arctic_a0131.wav,YBAA,Arabic,M,providence had delivered him through the mail store.
a cry of joy burst from philips lips,data/l2arctic/YBAA/wav/arctic_a0132.wav,YBAA,Arabic,M,a cry of joy burst from philip's lips.
philip began to feel that he had foolishly overestimated his strength,data/l2arctic/YBAA/wav/arctic_a0133.wav,YBAA,Arabic,M,philip began to feel that he had foolishly overestimated his strength.
he obeyed the pressure of her hand,data/l2arctic/YBAA/wav/arctic_a0134.wav,YBAA,Arabic,M,he obeyed the pressure of her hand.
im going to surprise father and you will go with pierre,data/l2arctic/YBAA/wav/arctic_a0135.wav,YBAA,Arabic,M,i'm going to surprise father and you will go with piri.
about him everywhere were the evidences of luxury and of age,data/l2arctic/YBAA/wav/arctic_a0136.wav,YBAA,Arabic,M,"about him everywhere, where the evidences of luxury and of age."
in the picture he saw each moment a greater resemblance to jeanne,data/l2arctic/YBAA/wav/arctic_a0138.wav,YBAA,Arabic,M,"in the picture he saw each moment, a greater resemblance to jane."
he told himself that he washed himself and groomed his disheveled clothes,data/l2arctic/YBAA/wav/arctic_a0139.wav,YBAA,Arabic,M,he told himself that he washed himself and groomed his disha field clothes.
accept a fathers blessing and with it this,data/l2arctic/YBAA/wav/arctic_a0140.wav,YBAA,Arabic,M,accept a father's blessing and with it this.
it seems like a strange pointing of the hand of god,data/l2arctic/YBAA/wav/arctic_a0141.wav,YBAA,Arabic,M,it seems like a strange pointing of the hand of god.
